"Geo Level","State","State ANSI","Measure","Bearing_type","Domain","size_bracket","Value","CV (%)"
"STATE","FLORIDA","12","OPERATIONS","AREA NON-BEARING","AREA GROWN","(25.0 TO 49.9 ACRES)","3","(H)"
"STATE","FLORIDA","12","OPERATIONS","AREA NON-BEARING","AREA GROWN","(50.0 TO 99.9 ACRES)","5","68.4"
"STATE","FLORIDA","12","OPERATIONS","AREA NON-BEARING","TOTAL","TOTAL","17","31.6"
"STATE","GEORGIA","13","ACRES","BEARING","TOTAL","TOTAL","249","13.0"
"STATE","GEORGIA","13","ACRES","GROWN","TOTAL","TOTAL","269","12.7"
"STATE","GEORGIA","13","ACRES","NON-BEARING","TOTAL","TOTAL","21","31.0"
"STATE","GEORGIA","13","OPERATIONS","AREA BEARING","TOTAL","TOTAL","121","16.0"
"STATE","GEORGIA","13","OPERATIONS","AREA GROWN","TOTAL","TOTAL","150","18.6"
"STATE","GEORGIA","13","OPERATIONS","AREA NON-BEARING","TOTAL","TOTAL","41","31.0"
"STATE","HAWAII","15","ACRES","BEARING","TOTAL","TOTAL","(D)","(D)"
"STATE","HAWAII","15","ACRES","GROWN","TOTAL","TOTAL","10","2.9"
"STATE","HAWAII","15","ACRES","NON-BEARING","TOTAL","TOTAL","(D)","(D)"
"STATE","HAWAII","15","OPERATIONS","AREA BEARING","TOTAL","TOTAL","8","29.0"
"STATE","HAWAII","15","OPERATIONS","AREA GROWN","TOTAL","TOTAL","11","27.3"
"STATE","HAWAII","15","OPERATIONS","AREA NON-BEARING","TOTAL","TOTAL","4","33.5"
"STATE","IDAHO","16","ACRES","BEARING","TOTAL","TOTAL","30","22.8"
"STATE","IDAHO","16","ACRES","GROWN","TOTAL","TOTAL","32","22.5"
"STATE","IDAHO","16","ACRES","NON-BEARING","TOTAL","TOTAL","1","29.2"
"STATE","IDAHO","16","OPERATIONS","AREA BEARING","TOTAL","TOTAL","72","15.4"
"STATE","IDAHO","16","OPERATIONS","AREA GROWN","TOTAL","TOTAL","78","14.4"
"STATE","IDAHO","16","OPERATIONS","AREA NON-BEARING","TOTAL","TOTAL","10","34.2"
"STATE","ILLINOIS","17","ACRES","BEARING","TOTAL","TOTAL","175","13.7"
"STATE","ILLINOIS","17","ACRES","GROWN","TOTAL","TOTAL","208","11.7"
"STATE","ILLINOIS","17","ACRES","NON-BEARING","TOTAL","TOTAL","33","5.4"
"STATE","ILLINOIS","17","OPERATIONS","AREA BEARING","TOTAL","TOTAL","154","14.1"
"STATE","ILLINOIS","17","OPERATIONS","AREA GROWN","TOTAL","TOTAL","184","12.7"
"STATE","ILLINOIS","17","OPERATIONS","AREA NON-BEARING","TOTAL","TOTAL","52","15.4"
"STATE","INDIANA","18","ACRES","BEARING","TOTAL","TOTAL","220","7.1"
"STATE","INDIANA","18","ACRES","GROWN","TOTAL","TOTAL","262","7.3"
"STATE","INDIANA","18","ACRES","NON-BEARING","TOTAL","TOTAL","41","10.2"
"STATE","INDIANA","18","OPERATIONS","AREA BEARING","TOTAL","TOTAL","223","12.1"
"STATE","INDIANA","18","OPERATIONS","AREA GROWN","TOTAL","TOTAL","248","10.7"
"STATE","INDIANA","18","OPERATIONS","AREA NON-BEARING","TOTAL","TOTAL","47","17.7"
"STATE","IOWA","19","ACRES","BEARING","TOTAL","TOTAL","144","16.8"
"STATE","IOWA","19","ACRES","GROWN","TOTAL","TOTAL","169","18.2"
"STATE","IOWA","19","ACRES","NON-BEARING","TOTAL","TOTAL","25","33.8"
"STATE","IOWA","19","OPERATIONS","AREA BEARING","TOTAL","TOTAL","126","19.5"
"STATE","IOWA","19","OPERATIONS","AREA GROWN","TOTAL","TOTAL","145","18.8"
"STATE","IOWA","19","OPERATIONS","AREA NON-BEARING","TOTAL","TOTAL","36","24.0"
"STATE","KANSAS","20","ACRES","BEARING","TOTAL","TOTAL","27","24.0"
"STATE","KANSAS","20","ACRES","GROWN","TOTAL","TOTAL","32","21.8"
"STATE","KANSAS","20","ACRES","NON-BEARING","TOTAL","TOTAL","5","39.3"
"STATE","KANSAS","20","OPERATIONS","AREA BEARING","TOTAL","TOTAL","42","26.9"
"STATE","KANSAS","20","OPERATIONS","AREA GROWN","TOTAL","TOTAL","49","22.7"
"STATE","KANSAS","20","OPERATIONS","AREA NON-BEARING","TOTAL","TOTAL","9","21.1"
"STATE","KENTUCKY","21","ACRES","BEARING","TOTAL","TOTAL","128","28.1"
"STATE","KENTUCKY","21","ACRES","GROWN","TOTAL","TOTAL","152","28.0"
"STATE","KENTUCKY","21","ACRES","NON-BEARING","TOTAL","TOTAL","25","32.9"
"STATE","KENTUCKY","21","OPERATIONS","AREA BEARING","TOTAL","TOTAL","218","42.3"
"STATE","KENTUCKY","21","OPERATIONS","AREA GROWN","TOTAL","TOTAL","262","45.4"
"STATE","KENTUCKY","21","OPERATIONS","AREA NON-BEARING","TOTAL","TOTAL","85","42.7"
"STATE","LOUISIANA","22","ACRES","BEARING","TOTAL","TOTAL","182","34.2"
"STATE","LOUISIANA","22","ACRES","GROWN","TOTAL","TOTAL","182","34.2"
"STATE","LOUISIANA","22","ACRES","NON-BEARING","TOTAL","TOTAL","(Z)","63.2"
"STATE","LOUISIANA","22","OPERATIONS","AREA BEARING","TOTAL","TOTAL","39","33.9"
"STATE","LOUISIANA","22","OPERATIONS","AREA GROWN","TOTAL","TOTAL","39","33.9"
"STATE","LOUISIANA","22","OPERATIONS","AREA NON-BEARING","TOTAL","TOTAL","3","63.2"
"STATE","MAINE","23","ACRES","BEARING","TOTAL","TOTAL","293","35.3"
"STATE","MAINE","23","ACRES","GROWN","TOTAL","TOTAL","371","31.3"
"STATE","MAINE","23","ACRES","NON-BEARING","TOTAL","TOTAL","78","18.9"
"STATE","MAINE","23","OPERATIONS","AREA BEARING","TOTAL","TOTAL","154","11.7"
"STATE","MAINE","23","OPERATIONS","AREA GROWN","TOTAL","TOTAL","193","12.5"
"STATE","MAINE","23","OPERATIONS","AREA NON-BEARING","TOTAL","TOTAL","94","14.2"
"STATE","MARYLAND","24","ACRES","BEARING","TOTAL","TOTAL","135","4.8"
"STATE","MARYLAND","24","ACRES","GROWN","TOTAL","TOTAL","150","4.1"
"STATE","MARYLAND","24","ACRES","NON-BEARING","TOTAL","TOTAL","15","27.3"
"STATE","MARYLAND","24","OPERATIONS","AREA BEARING","TOTAL","TOTAL","129","11.4"
"STATE","MARYLAND","24","OPERATIONS","AREA GROWN","TOTAL","TOTAL","142","11.3"
"STATE","MARYLAND","24","OPERATIONS","AREA NON-BEARING","TOTAL","TOTAL","26","19.6"
"STATE","MASSACHUSETTS","25","ACRES","BEARING","TOTAL","TOTAL","258","11.3"
"STATE","MASSACHUSETTS","25","ACRES","GROWN","TOTAL","TOTAL","303","13.5"
